time,temp,humidity,pressure
1573194378,25.5,50.299999,1006.571777
1573194380,25.5,50.400002,1006.56665
1573194383,25.5625,50.400002,1006.598877
1573194386,25.5625,50.400002,1006.566895
1573194389,25.5625,50.299999,1006.571533
1573194392,25.625,50.099998,1006.544189
1573194395,25.625,50.099998,1006.614258
1573194398,25.625,50,1006.607178
1573194401,25.625,49.900002,1006.615479
1573194404,25.625,49.799999,1006.5979
1573194407,25.625,49.700001,1006.565918
1573194410,25.6875,49.599998,1006.595215
1573194413,25.6875,49.599998,1006.575684
1573194416,25.6875,49.5,1006.651611
1573194419,25.6875,49.400002,1006.552002
1573194422,25.6875,49.299999,1006.602051
1573194425,25.6875,49.200001,1006.624023
1573194428,25.6875,49.099998,1006.649658
1573194431,25.6875,49,1006.566162
1573194434,25.6875,49,1006.53418
1573194438,25.6875,49,1006.556885
1573194440,25.6875,49,1006.572021
1573194443,25.75,48.900002,1006.620605
1573194446,25.8125,48.900002,1006.661865
1573194449,25.75,48.799999,1006.477051
1573194452,25.75,48.900002,1006.581787
1573194455,25.8125,48.799999,1006.563965
1573194458,25.8125,48.799999,1006.539795
1573194461,25.8125,48.700001,1006.571289
1573194464,25.875,48.799999,1006.592041
1573194467,25.875,48.799999,1006.631104
1573194470,25.875,48.799999,1006.548096
1573194473,25.9375,48.799999,1006.5896
1573194476,25.875,48.700001,1006.465332
1573194479,25.875,48.599998,1006.599609
1573194482,25.875,48.5,1006.551514
1573194485,25.875,48.5,1006.544922
1573194488,25.875,48.599998,1006.650635
1573194491,25.8125,48.5,1006.592041
1573194494,25.8125,48.5,1006.597656
1573194498,25.875,48.400002,1006.665771
1573194500,25.875,48.5,1006.526123
1573194503,25.875,48.5,1006.60498
1573194506,25.875,48.5,1006.632568
1573194509,25.875,48.400002,1006.641602
1573194512,25.875,48.400002,1006.63916
1573194515,25.9375,48.400002,1006.559082
1573194518,25.9375,48.400002,1006.650146
1573194521,26,48.400002,1006.671143
1573194524,25.9375,48.5,1006.583496
1573194527,26,48.400002,1006.614746
1573194530,26,48.5,1006.631836
1573194533,26,48.400002,1006.591064
1573194536,26.0625,48.5,1006.61499
1573194539,26,48.400002,1006.518311
1573194542,26,48.400002,1006.592285
1573194545,26,48.599998,1006.506104
1573194548,26.0625,48.700001,1006.652344
1573194551,26,48.799999,1006.651123
1573194554,26.0625,48.700001,1006.602783
1573194558,26.0625,48.700001,1006.7229
1573194560,26.125,48.700001,1006.684814
1573194563,26.125,48.700001,1006.645264
1573194566,26.125,48.700001,1006.656738
1573194569,26.125,48.599998,1006.653809
1573194572,26.125,48.599998,1006.544678
